Nombre_Receta,Fuente,Tipo,Total_Ingredientes,N_Activos_Raros,N_Especias,N_Bases,Ratio_Activos_%,Ratio_Especias_%,Ratio_Bases_%,Lista_Activos,Lista_Especias,Lista_Bases
Rosata Novella,"Antidotarium Nicolai, s.XII",Laxante suave / Cordial,7,2,4,1,28.6,57.1,14.3,Rosa | Liquiritia,Cinnamomum | Galanga | Nux moschata | Crocus,Saccharum
Letitia Galeni,"Antidotarium Nicolai, s.XII",Cordial / Antimelancolico,14,6,6,2,42.9,42.9,14.3,Lapis lazuli | Buglossa | Seta | Rosa | Doronicum | Basilicon,Cinnamomum | Crocus | Nux moschata | Galanga | Cubeba | Cardamomum,Saccharum | Aqua rosarum
Trifera Saracenica,"Antidotarium Nicolai, s.XII",Reconstituyente nervioso,14,5,8,1,35.7,57.1,7.1,Opium | Castoreum | Pyrethrum | Euphorbia | Nardus indica,Piper longum | Piper nigrum | Zingiber | Cinnamomum | Myrrha | Crocus | Cardamomum | Casia,Mel despumatum
Paulinum,Antidotarium Nicolai / Galeno,Antidoto / Analgesico,13,5,7,1,38.5,53.8,7.7,Opium | Castoreum | Hyoscyamus | Petroselinum | Hypericum,Piper longum | Piper nigrum | Zingiber | Cinnamomum | Myrrha | Crocus | Casia,Mel despumatum
Electuarium Justinum,"Antidotarium Nicolai, s.XII",Tonico / Digestivo especiado,14,4,9,1,28.6,64.3,7.1,Amomum | Petroselinum | Acorus calamus | Nardus indica,Piper longum | Piper nigrum | Zingiber | Cinnamomum | Crocus | Costus | Myrrha | Casia | Cardamomum,Mel despumatum
Electuarium de Baccis Lauri,"Grabadin / Pseudo-Mesue, s.XI",Emmenagogo / Diuretico,11,5,5,1,45.5,45.5,9.1,Laurus | Aristolochia | Gentiana | Petroselinum | Apium,Piper longum | Zingiber | Cinnamomum | Myrrha | Anisi,Mel despumatum
Syrupus de Fumaria,Grabadin / Mesue,Depurativo / Antimelancolico,9,5,2,2,55.6,22.2,22.2,Fumaria | Senna | Epithymum | Polypodium | Endiviae,Cinnamomum | Anisi,Saccharum | Aqua
Confectio Anacardia,Grabadin / Mesue,Tonico cerebral / Mnemonico,10,4,5,1,40.0,50.0,10.0,Anacardium | Castoreum | Euphorbia | Pyrethrum,Piper longum | Piper nigrum | Zingiber | Cinnamomum | Crocus,Mel despumatum
Electuarium Diacostum,Grabadin / Mesue,Digestivo caliente / Carminativo,11,4,6,1,36.4,54.5,9.1,Costus | Amomum | Nardus indica | Mastix,Piper longum | Zingiber | Cinnamomum | Casia | Cardamomum | Anisi,Mel despumatum
Unguentum Marciaton,Grabadin / Mesue,Emoliente / Relajante muscular,10,7,0,3,70.0,0.0,30.0,Althaea | Chamaemelum | Melilotus | Anethum | Linum | Foenum graecum | Terebinthina,,Oleum olivarum | Cera | Axungia porci
Suffuf al-Tib (Polvo aromatico de Avicena),"Avicenna, Canon Medicinae, s.XI",Aromatico / Digestivo,9,2,7,0,22.2,77.8,0.0,Sandalum album | Rosa,Cinnamomum | Cardamomum | Nux moschata | Galanga | Crocus | Casia | Camphor,
Itrifal Ustukhudus (Electuario de Espliego),"Avicenna, Canon Medicinae",Antimelancolico / Nervioso,12,6,5,1,50.0,41.7,8.3,Lavandula | Epithymum | Polypodium | Agaricum | Senna | Lapis lazuli,Cinnamomum | Zingiber | Crocus | Anisi | Rosa,Mel despumatum
Tiryaq al-Arba (Theriac de 4 ingredientes - Avicena),"Avicenna, Canon Medicinae",Antidoto simple,5,3,1,1,60.0,20.0,20.0,Gentiana | Aristolochia rotunda | Laurus,Myrrha,Mel despumatum
Jawaarish Jalinusi (Digestivo de Galeno - Avicena),"Avicenna, Canon Medicinae",Digestivo / Tonico estomacal,12,3,8,1,25.0,66.7,8.3,Mastix | Nardus indica | Aloe,Piper longum | Piper nigrum | Zingiber | Cinnamomum | Crocus | Casia | Costus | Cardamomum,Mel despumatum
Unguentum Abulcasis (de vulneribus),"Abulcasis, al-Tasrif, s.X",Vulnerario / Cicatrizante,8,4,2,2,50.0,25.0,25.0,Aristolochia | Sarcocolla | Sanguis draconis | Aloe,Olibanum | Myrrha,Oleum rosarum | Cera
Theriac Abulcasis (contra venenos),"Abulcasis, al-Tasrif",Antidoto,14,7,6,1,50.0,42.9,7.1,Opium | Castoreum | Gentiana | Aristolochia | Opopanax | Sagapenum | Galbanum,Crocus | Cinnamomum | Piper longum | Piper nigrum | Myrrha | Zingiber,Mel despumatum
Antidotum Hadriani,"Compilacion salernitana, s.XII",Antidoto / Analgesico,12,5,6,1,41.7,50.0,8.3,Opium | Castoreum | Euphorbia | Acorus calamus | Gentiana,Piper longum | Zingiber | Cinnamomum | Myrrha | Crocus | Casia,Mel despumatum
Electuarium Ducis,"Antidotarium Nicolai, s.XII",Pectoral / Antitusivo,11,5,4,2,45.5,36.4,18.2,Glycyrrhiza | Dragagantum | Gummi arabicum | Hyssopus | Iris,Piper longum | Zingiber | Cinnamomum | Anisi,Saccharum | Mel despumatum
Benedicta Laxativa,"Antidotarium Nicolai, s.XII",Purgante universal / Polychreston,12,6,5,1,50.0,41.7,8.3,Turbith | Diagridium | Polypodium | Senna | Epithymum | Rhabarbarum,Zingiber | Cinnamomum | Anisi | Crocus | Mastix,Saccharum
Diatragacanthi,"Antidotarium Nicolai, s.XII",Pectoral / Demulcente,6,4,1,1,66.7,16.7,16.7,Tragacantha | Gummi arabicum | Amylum | Glycyrrhiza,Cinnamomum,Saccharum
Dianucum (Electuario de Nueces),"Antidotarium Nicolai, s.XII",Tonico cerebral / Antiepileptico,9,5,3,1,55.6,33.3,11.1,Nux | Ruta | Pirethrum | Euphorbia | Castoreum,Piper nigrum | Zingiber | Cinnamomum,Mel despumatum
Electuarium Diaspermaton,"Antidotarium Nicolai, s.XII",Diuretico / Carminativo,10,6,3,1,60.0,30.0,10.0,Petroselinum | Apium | Carum | Foeniculum | Anisi | Amomum,Piper longum | Zingiber | Cinnamomum,Mel despumatum
Philonium Romanum,"Antidotarium Nicolai, s.XII",Analgesico / Antidiarreico (variante),11,4,6,1,36.4,54.5,9.1,Opium | Hyoscyamus | Pyrethrum | Euphorbia,Piper longum | Piper nigrum | Zingiber | Cinnamomum | Crocus | Myrrha,Mel despumatum
Theriac Diatessaron Magna,Compilacion salernitana,Antidoto compuesto,8,5,2,1,62.5,25.0,12.5,Gentiana | Aristolochia rotunda | Laurus | Castoreum | Hypericum,Myrrha | Cinnamomum,Mel despumatum
