Receta,Ingrediente,Categoria,Ingrediente_Normalizado
Diaciminum (Electuario de Comino),Amomum,ACTIVO,Amomum
Diaciminum (Electuario de Comino),Daucus creticus,ACTIVO,Daucus creticus
Diaciminum (Electuario de Comino),Piper longum,ESPECIA,Piper longum
Diaciminum (Electuario de Comino),Piper nigrum,ESPECIA,Piper nigrum
Diaciminum (Electuario de Comino),Zingiber,ESPECIA,Zingiber
Diaciminum (Electuario de Comino),Anisi,ESPECIA,Anisi
Diaciminum (Electuario de Comino),Cinnamomum,ESPECIA,Cinnamomum
Diaciminum (Electuario de Comino),Mel despumatum,BASE,Mel despumatum
Unguentum Basilicon,Resina pini,ACTIVO,Resina pini
Unguentum Basilicon,Pix (Pez),ACTIVO,Pix
Unguentum Basilicon,Galbanum,ACTIVO,Galbanum
Unguentum Basilicon,Olibanum,ESPECIA,Olibanum
Unguentum Basilicon,Cera,BASE,Cera
Unguentum Basilicon,Oleum olivarum,BASE,Oleum olivarum
Unguentum Basilicon,Sebum,BASE,Sebum
Unguentum Populeon,Populus (Yemas de alamo),ACTIVO,Populus
Unguentum Populeon,Mandragora,ACTIVO,Mandragora
Unguentum Populeon,Hyoscyamus,ACTIVO,Hyoscyamus
Unguentum Populeon,Papaver nigrum,ACTIVO,Papaver nigrum
Unguentum Populeon,Lactuca,ACTIVO,Lactuca
Unguentum Populeon,Sempervivum,ACTIVO,Sempervivum
Unguentum Populeon,Solanum,ACTIVO,Solanum
Unguentum Populeon,Umbilicus veneris,ACTIVO,Umbilicus veneris
Unguentum Populeon,Viola,ESPECIA,Viola
Unguentum Populeon,Axungia porci (Grasa de cerdo),BASE,Axungia porci
Unguentum Populeon,Oleum olivarum,BASE,Oleum olivarum
Unguentum Populeon,Cera,BASE,Cera
Pillulae de Hiera cum Agarico,Aloe,ACTIVO,Aloe
Pillulae de Hiera cum Agarico,Agaricum,ACTIVO,Agaricum
Pillulae de Hiera cum Agarico,Coloquintida,ACTIVO,Coloquintida
Pillulae de Hiera cum Agarico,Mastix,ACTIVO,Mastix
Pillulae de Hiera cum Agarico,Euphorbia,ACTIVO,Euphorbia
Pillulae de Hiera cum Agarico,Crocus,ESPECIA,Crocus
Pillulae de Hiera cum Agarico,Cinnamomum,ESPECIA,Cinnamomum
Pillulae de Hiera cum Agarico,Rosa,ESPECIA,Rosa
Pillulae de Hiera cum Agarico,Succo absinthii,BASE,Succo absinthii
Pillulae Fetidae (Pildoras Fetidas),Opopanax,ACTIVO,Opopanax
Pillulae Fetidae (Pildoras Fetidas),Galbanum,ACTIVO,Galbanum
Pillulae Fetidae (Pildoras Fetidas),Sagapenum,ACTIVO,Sagapenum
Pillulae Fetidae (Pildoras Fetidas),Castoreum,ACTIVO,Castoreum
Pillulae Fetidae (Pildoras Fetidas),Asa foetida,ACTIVO,Asa foetida
Pillulae Fetidae (Pildoras Fetidas),Myrrha,ESPECIA,Myrrha
Pillulae Fetidae (Pildoras Fetidas),Bdellium,ESPECIA,Bdellium
Pillulae Fetidae (Pildoras Fetidas),Succo rutae,BASE,Succo rutae
Requies Magna (Requies Nicolai),Opium,ACTIVO,Opium
Requies Magna (Requies Nicolai),Mandragora,ACTIVO,Mandragora
Requies Magna (Requies Nicolai),Hyoscyamus,ACTIVO,Hyoscyamus
Requies Magna (Requies Nicolai),Papaver album,ACTIVO,Papaver album
Requies Magna (Requies Nicolai),Lactuca,ACTIVO,Lactuca
Requies Magna (Requies Nicolai),Psyllium,ACTIVO,Psyllium
Requies Magna (Requies Nicolai),Gummi arabicum,ACTIVO,Gummi arabicum
Requies Magna (Requies Nicolai),Amylum,ACTIVO,Amylum
Requies Magna (Requies Nicolai),Tragacantha,ACTIVO,Tragacantha
Requies Magna (Requies Nicolai),Glycyrrhiza,ACTIVO,Glycyrrhiza
Requies Magna (Requies Nicolai),Rosa,ESPECIA,Rosa
Requies Magna (Requies Nicolai),Cinnamomum,ESPECIA,Cinnamomum
Requies Magna (Requies Nicolai),Nux moschata,ESPECIA,Nux moschata
Requies Magna (Requies Nicolai),Crocus,ESPECIA,Crocus
Requies Magna (Requies Nicolai),Camphor,ESPECIA,Camphor
Requies Magna (Requies Nicolai),Saccharum,BASE,Saccharum
Requies Magna (Requies Nicolai),Aqua rosarum,BASE,Aqua rosarum
Diacodion (Jarabe de Adormidera),Papaver album (capita),ACTIVO,Papaver album
Diacodion (Jarabe de Adormidera),Glycyrrhiza,ACTIVO,Glycyrrhiza
Diacodion (Jarabe de Adormidera),Gummi arabicum,ACTIVO,Gummi arabicum
Diacodion (Jarabe de Adormidera),Cinnamomum,ESPECIA,Cinnamomum
Diacodion (Jarabe de Adormidera),Saccharum,BASE,Saccharum
Diacodion (Jarabe de Adormidera),Aqua,BASE,Aqua
Dialtea (Ungueento de Altea),Althaea (Malvavisco),ACTIVO,Althaea
Dialtea (Ungueento de Altea),Linum (Linaza),ACTIVO,Linum
Dialtea (Ungueento de Altea),Foenum graecum (Alholva),ACTIVO,Foenum graecum
Dialtea (Ungueento de Altea),Terebinthina,ACTIVO,Terebinthina
Dialtea (Ungueento de Altea),Cera,ACTIVO,Cera
Dialtea (Ungueento de Altea),Colophonia,ACTIVO,Colophonia
Dialtea (Ungueento de Altea),Olibanum,ESPECIA,Olibanum
Dialtea (Ungueento de Altea),Oleum olivarum,BASE,Oleum olivarum
Dialtea (Ungueento de Altea),Axungia porci,BASE,Axungia porci
Dialtea (Ungueento de Altea),Aqua,BASE,Aqua
Philonium Persicum,Opium,ACTIVO,Opium
Philonium Persicum,Castoreum,ACTIVO,Castoreum
Philonium Persicum,Pyrethrum,ACTIVO,Pyrethrum
Philonium Persicum,Euphorbium,ACTIVO,Euphorbium
Philonium Persicum,Hyoscyamus,ACTIVO,Hyoscyamus
Philonium Persicum,Nardus indica,ACTIVO,Nardus indica
Philonium Persicum,Hypocistis,ACTIVO,Hypocistis
Philonium Persicum,Gummi arabicum,ACTIVO,Gummi arabicum
Philonium Persicum,Styrax,ACTIVO,Styrax
Philonium Persicum,Crocus,ESPECIA,Crocus
Philonium Persicum,Piper longum,ESPECIA,Piper longum
Philonium Persicum,Piper nigrum,ESPECIA,Piper nigrum
Philonium Persicum,Zingiber,ESPECIA,Zingiber
Philonium Persicum,Cinnamomum,ESPECIA,Cinnamomum
Philonium Persicum,Myrrha,ESPECIA,Myrrha
Philonium Persicum,Casia,ESPECIA,Casia
Philonium Persicum,Cardamomum,ESPECIA,Cardamomum
Philonium Persicum,Mel despumatum,BASE,Mel despumatum
Oximel Compositum,Squilla,ACTIVO,Squilla
Oximel Compositum,Petroselinum,ACTIVO,Petroselinum
Oximel Compositum,Apium,ACTIVO,Apium
Oximel Compositum,Foeniculum (radix),ACTIVO,Foeniculum
Oximel Compositum,Carum,ACTIVO,Carum
Oximel Compositum,Zingiber,ESPECIA,Zingiber
Oximel Compositum,Piper longum,ESPECIA,Piper longum
Oximel Compositum,Anisi,ESPECIA,Anisi
Oximel Compositum,Mel despumatum,BASE,Mel despumatum
Oximel Compositum,Acetum,BASE,Acetum
Theriac Diatessaron,Gentiana,ACTIVO,Gentiana
Theriac Diatessaron,Aristolochia rotunda,ACTIVO,Aristolochia rotunda
Theriac Diatessaron,Laurus (Laurel),ACTIVO,Laurus
Theriac Diatessaron,Myrrha,ESPECIA,Myrrha
Theriac Diatessaron,Mel despumatum,BASE,Mel despumatum
