Stem,Ingredient,Confidence,Tier,Source,Reasoning
U1J1A1B1,Styrax,70,4,v3_MODERATE,Styrax scores 0.907. Present in Diascordium+Philonium only. Styrax is in both.
A1Q1A3,Piper longum,68,4,v3_MODERATE,Top candidate at 0.780. Similar profile to A1Q1A1 (Piper nigrum) -- morphological pair A1Q1+A1 vs A1Q1+A3 maps to nigrum/longum pair.
D1,Bdellium,68,4,v3_MODERATE,"Bdellium 0.928, next Opopanax 0.919. Present in Trifera+Ung.Apostolorum. Both have Bdellium."
P1K1K2,Bdellium,68,4,v3_MODERATE,"Bdellium 0.928, next Opopanax 0.919. Present in Trifera+Ung.Apostolorum. Both have Bdellium."
A1Q1K2A1,Casia,65,4,v3_MODERATE,Top candidate 0.827. Present in Aurea+Diamargariton+Philonium+Trifera. Casia in all 4. K1A3=Crocus eliminates Crocus from this list.
A1B2K1J1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
C1A3,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
D1A1Q1J1A1B1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
D1A1Q2J1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
K1J1A1U1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
L1A1B1A1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
L1A1U1J1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
K1A1B2A1B1,Cardamomum,65,4,v3_MODERATE,"Cardamomum 0.890. Present in Diamargariton+Philonium (or +Trifera). After eliminating Crocus(=K1A3) and Casia(=A1Q1K2A1), Cardamomum is top."
A1Q2J1A1,Casia,63,4,v3_MODERATE,"Same Casia profile as A1Q1K2A1. Morphological variant. After eliminating Crocus (=K1A3), Casia is top."
D1A1Q1K2A1,Casia,63,4,v3_MODERATE,Same profile. D1A1-prefix + Casia stem.
A1B2B1A3,Opopanax,80,3,session6_independent,Independent resolution to Opopanax. Present in Trifera Magna + Ung. Apostolorum + Pil. Fetidae. Opopanax is in all three. Converges independently from A3F2.
A3F2,Opopanax,78,3,session6_independent,Converges to Opopanax independently from A1B2B1A3. Present in same recipe subset. Cross-validated by two independent stems resolving to same ingredient.
K1J1,Zingiber,83,3,session14_intersection_UNIQUE,"UNIQUE candidate across 10 diverse recipes. Only unidentified ingredient common to all: Zingiber. 38 folios, 100% presence, 67% absence. Top Zingiber stem."
K1K2,Zingiber,80,3,session14_intersection_UNIQUE,"UNIQUE candidate across 9 diverse recipes. Only unidentified ingredient common to all: Zingiber. 37 folios, 100% presence, 70% absence. Second Zingiber stem."
K1J1B1,Castoreum,83,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins by presence/absence differential. 26 folios, 100% presence, 67% absence."
Q2A3,Castoreum,82,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 25 folios, 100% presence, 68% absence."
K1U1,Castoreum,79,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 23 folios, 100% presence, 71% absence."
A1Q2,Castoreum,79,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 23 folios, 100% presence, 71% absence."
L1J1B1,Castoreum,79,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 23 folios, 100% presence, 71% absence."
D1A1Q1K2B1,Castoreum,78,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 22 folios, 100% presence, 72% absence."
B2A1,Castoreum,77,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 21 folios, 100% presence, 73% absence."
B2Q1A3,Castoreum,76,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 20 folios, 100% presence, 74% absence."
A1Q1K2B1,Castoreum,75,3,session14_intersection_STRONG,"Castoreum vs Zingiber: Castoreum wins. 19 folios, 100% presence, 75% absence."
A1Q1K2Ba,Petroselinum,90,3,session14_intersection_STRONG,"Petroselinum vs Zingiber: Petroselinum wins decisively. 9 folios, 100% presence, only 39% absence. Petroselinum is rare enough to discriminate. NEW ingredient."
A1Q2K1A1,Petroselinum,90,3,session14_intersection_STRONG,"Petroselinum vs Zingiber: Petroselinum wins. 8 folios, 100% presence, 41% absence. NEW ingredient."
B1L1K2B1,Petroselinum,90,3,session14_intersection_STRONG,"Petroselinum vs Zingiber: Petroselinum wins. 3 folios, 100% presence, 48% absence. NEW ingredient."
D1A1Q1K2Aa,Gentiana,90,3,session14_intersection_STRONG,"Gentiana vs Zingiber: Gentiana wins decisively. 3 folios, 100% presence, only 18% absence. Gentiana is very rare -- only in antidote recipes. NEW ingredient."
Q2A1B1A3,Gentiana,85,3,session14_intersection_STRONG_with_conflict,"Gentiana vs Zingiber: Gentiana wins (100% presence, 18% absence). NOTE: Was flagged as Opium-exclusive in session 11 morphological analysis. Intersection method overrides: Gentiana fits recipe profile better. Present in antidote-type folios."
K1U1A3,Petroselinum,90,3,session14_intersection_STRONG,"Petroselinum vs Zingiber: Petroselinum wins. 4 folios, 100% presence, 47% absence. NEW ingredient confirmation."
