Folio,Rank,Recipe,Overlap,Overlap_Ingredients,F1_pct,Folio_Coverage_pct,Recipe_Coverage_pct,Structural_Sim_pct,Recipe_N_Ingredients
f95v,2,Philonium Persicum,5,Cardamomum | Casia | Crocus | Piper longum | Styrax,43.5,100.0,27.8,16.4,18
f95v,3,Suffuf al-Tib (Polvo aromatico de Avicena),3,Cardamomum | Casia | Crocus,42.9,60.0,33.3,8.2,9
f95v,4,Trifera Saracenica,4,Cardamomum | Casia | Crocus | Piper longum,42.1,80.0,28.6,12.7,14
f95v,5,Electuarium Justinum,4,Cardamomum | Casia | Crocus | Piper longum,42.1,80.0,28.6,12.7,14
f96r,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Cardamomum | Crocus | Mel despumatum | Piper nigrum | Zingiber,52.6,71.4,41.7,20.7,12
f96r,2,Philonium Persicum,6,Cardamomum | Crocus | Mel despumatum | Piper nigrum | Styrax | Zingiber,48.0,85.7,33.3,31.0,18
f96r,3,Trifera Saracenica,5,Cardamomum | Crocus | Mel despumatum | Piper nigrum | Zingiber,47.6,71.4,35.7,24.1,14
f96r,4,Electuarium Justinum,5,Cardamomum | Crocus | Mel despumatum | Piper nigrum | Zingiber,47.6,71.4,35.7,24.1,14
f96r,5,Theriac Abulcasis (contra venenos),5,Crocus | Galbanum | Mel despumatum | Piper nigrum | Zingiber,47.6,71.4,35.7,24.1,14
f96v,1,Pillulae Aureae,1,Crocus,25.0,100.0,14.3,17.9,7
f96v,2,Rosata Novella,1,Crocus,25.0,100.0,14.3,17.9,7
f96v,3,Pillulae de Hiera cum Agarico,1,Crocus,20.0,100.0,11.1,23.1,9
f96v,4,Suffuf al-Tib (Polvo aromatico de Avicena),1,Crocus,20.0,100.0,11.1,23.1,9
f96v,5,Hiera Picra (Hiera de Galeno),1,Crocus,18.2,100.0,10.0,25.6,10
f99r,1,Electuarium Justinum,6,Amomum | Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,60.0,100.0,42.9,10.3,14
f99r,2,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,55.6,83.3,41.7,8.8,12
f99r,3,Paulinum,5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,52.6,83.3,38.5,9.6,13
f99r,4,Theodoricon Euporistum,6,Amomum | Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,52.2,100.0,35.3,12.5,17
f99r,5,Trifera Saracenica,5,Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,50.0,83.3,35.7,10.3,14
f99v,1,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),4,Casia | Cinnamomum | Piper longum | Piper nigrum,50.0,100.0,33.3,13.0,12
f99v,2,Paulinum,4,Casia | Cinnamomum | Piper longum | Piper nigrum,47.1,100.0,30.8,14.1,13
f99v,3,Trifera Saracenica,4,Casia | Cinnamomum | Piper longum | Piper nigrum,44.4,100.0,28.6,15.2,14
f99v,4,Electuarium Justinum,4,Casia | Cinnamomum | Piper longum | Piper nigrum,44.4,100.0,28.6,15.2,14
f99v,5,Confectio Anacardia,3,Cinnamomum | Piper longum | Piper nigrum,42.9,75.0,30.0,10.9,10
f100r,1,Suffuf al-Tib (Polvo aromatico de Avicena),6,Cardamomum | Casia | Cinnamomum | Crocus | Galanga | Nux moschata,70.6,75.0,66.7,10.7,9
f100r,2,Diamargariton (Electuario de Perlas),8,Cardamomum | Casia | Cinnamomum | Crocus | Cubeba | Galanga | Nux moschata | Saccharum,66.7,100.0,50.0,19.0,16
f100r,3,Diarodon Abbatis,8,Cardamomum | Casia | Cinnamomum | Crocus | Cubeba | Galanga | Nux moschata | Saccharum,66.7,100.0,50.0,19.0,16
f100r,4,Rosata Novella,5,Cinnamomum | Crocus | Galanga | Nux moschata | Saccharum,66.7,62.5,71.4,8.3,7
f100r,5,Letitia Galeni,7,Cardamomum | Cinnamomum | Crocus | Cubeba | Galanga | Nux moschata | Saccharum,63.6,87.5,50.0,16.7,14
f100v,1,Diaciminum (Electuario de Comino),5,Amomum | Mel despumatum | Piper longum | Piper nigrum | Zingiber,58.8,83.3,45.5,16.4,11
f100v,2,Electuarium Justinum,5,Amomum | Mel despumatum | Piper longum | Piper nigrum | Zingiber,50.0,83.3,35.7,20.9,14
f100v,3,Theriac Abulcasis (contra venenos),5,Galbanum | Mel despumatum | Piper longum | Piper nigrum | Zingiber,50.0,83.3,35.7,20.9,14
f100v,4,Confectio Anacardia,4,Mel despumatum | Piper longum | Piper nigrum | Zingiber,50.0,66.7,40.0,14.9,10
f100v,5,Electuarium Diaspermaton,4,Amomum | Mel despumatum | Piper longum | Zingiber,50.0,66.7,40.0,14.9,10
f101r,1,Electuarium Justinum,8,Amomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,64.0,72.7,57.1,11.4,14
f101r,2,Paulinum,7,Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,58.3,63.6,53.8,10.6,13
f101r,3,Theodoricon Euporistum,8,Amomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,57.1,72.7,47.1,13.8,17
f101r,4,Trifera Magna,11,Amomum | Casia | Cinnamomum | Crocus | Cubeba | Galanga | Mel despumatum | Myrrha | Nux moschata | Piper nigrum | Zingiber,56.4,100.0,39.3,22.8,28
f101r,5,Trifera Saracenica,7,Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,56.0,63.6,50.0,11.4,14
f101v,1,Trifera Saracenica,7,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,66.7,100.0,50.0,10.9,14
f101v,2,Electuarium Justinum,7,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,66.7,100.0,50.0,10.9,14
f101v,3,Philonium Romanum,6,Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,66.7,85.7,54.5,8.6,11
f101v,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),6,Cardamomum | Cinnamomum | Crocus | Mel despumatum | Piper nigrum | Zingiber,63.2,85.7,50.0,9.4,12
f101v,5,Paulinum,6,Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,60.0,85.7,46.2,10.2,13
f102r,1,Trifera Saracenica,7,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,63.6,87.5,50.0,8.9,14
f102r,2,Electuarium Justinum,7,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,63.6,87.5,50.0,8.9,14
f102r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),6,Cardamomum | Casia | Crocus | Mel despumatum | Piper nigrum | Zingiber,60.0,75.0,50.0,7.6,12
f102r,4,Paulinum,6,Casia | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,57.1,75.0,46.2,8.3,13
f102r,5,Theodoricon Euporistum,7,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper nigrum | Zingiber,56.0,87.5,41.2,10.8,17
f102v,1,Trifera Saracenica,6,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Zingiber,57.1,85.7,42.9,7.8,14
f102v,2,Electuarium Justinum,6,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Zingiber,57.1,85.7,42.9,7.8,14
f102v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Cardamomum | Casia | Crocus | Mel despumatum | Zingiber,52.6,71.4,41.7,6.7,12
f102v,4,Antidotum Hadriani,5,Casia | Crocus | Mel despumatum | Myrrha | Zingiber,52.6,71.4,41.7,6.7,12
f102v,5,Theodoricon Euporistum,6,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Zingiber,50.0,85.7,35.3,9.4,17
f103r,1,Electuarium Justinum,5,Amomum | Cardamomum | Crocus | Myrrha | Piper longum,52.6,100.0,35.7,5.4,14
f103r,2,Theodoricon Euporistum,5,Amomum | Cardamomum | Crocus | Myrrha | Piper longum,45.5,100.0,29.4,6.5,17
f103r,3,Trifera Saracenica,4,Cardamomum | Crocus | Myrrha | Piper longum,42.1,80.0,28.6,5.4,14
f103r,4,Electuarium Diacostum,3,Amomum | Cardamomum | Piper longum,37.5,60.0,27.3,4.2,11
f103r,5,Philonium Romanum,3,Crocus | Myrrha | Piper longum,37.5,60.0,27.3,4.2,11
f103v,1,Electuarium Justinum,6,Amomum | Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,60.0,100.0,42.9,6.5,14
f103v,2,Theodoricon Euporistum,6,Amomum | Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,52.2,100.0,35.3,7.9,17
f103v,3,Trifera Saracenica,5,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,50.0,83.3,35.7,6.5,14
f103v,4,Electuarium Diacostum,4,Amomum | Cardamomum | Cinnamomum | Piper longum,47.1,66.7,36.4,5.1,11
f103v,5,Philonium Romanum,4,Cinnamomum | Crocus | Myrrha | Piper longum,47.1,66.7,36.4,5.1,11
f104r,1,Electuarium Justinum,7,Amomum | Cardamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,63.6,87.5,50.0,5.6,14
f104r,2,Theodoricon Euporistum,7,Amomum | Cardamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,56.0,87.5,41.2,6.8,17
f104r,3,Trifera Saracenica,6,Cardamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,54.5,75.0,42.9,5.6,14
f104r,4,Theriac Abulcasis (contra venenos),6,Crocus | Galbanum | Mel despumatum | Myrrha | Piper longum | Zingiber,54.5,75.0,42.9,5.6,14
f104r,5,Electuarium Diacostum,5,Amomum | Cardamomum | Mel despumatum | Piper longum | Zingiber,52.6,62.5,45.5,4.4,11
f104v,1,Trifera Saracenica,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,57.1,85.7,42.9,5.6,14
f104v,2,Electuarium Justinum,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,57.1,85.7,42.9,5.6,14
f104v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Cardamomum | Casia | Cinnamomum | Crocus | Piper longum,52.6,71.4,41.7,4.8,12
f104v,4,Antidotum Hadriani,5,Casia | Cinnamomum | Crocus | Myrrha | Piper longum,52.6,71.4,41.7,4.8,12
f104v,5,Theodoricon Euporistum,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,50.0,85.7,35.3,6.8,17
f105r,1,Trifera Saracenica,8,Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,69.6,88.9,57.1,5.9,14
f105r,2,Electuarium Justinum,8,Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,69.6,88.9,57.1,5.9,14
f105r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Cinnamomum | Crocus | Mel despumatum | Piper longum | Zingiber,66.7,77.8,58.3,5.1,12
f105r,4,Antidotum Hadriani,7,Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,66.7,77.8,58.3,5.1,12
f105r,5,Paulinum,7,Casia | Cinnamomum | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,63.6,77.8,53.8,5.5,13
f105v,1,Electuarium Justinum,5,Amomum | Crocus | Myrrha | Piper longum | Piper nigrum,50.0,83.3,35.7,6.2,14
f105v,2,Theriac Abulcasis (contra venenos),5,Crocus | Myrrha | Opopanax | Piper longum | Piper nigrum,50.0,83.3,35.7,6.2,14
f105v,3,Philonium Romanum,4,Crocus | Myrrha | Piper longum | Piper nigrum,47.1,66.7,36.4,4.9,11
f105v,4,Theodoricon Euporistum,5,Amomum | Crocus | Myrrha | Piper longum | Piper nigrum,43.5,83.3,29.4,7.6,17
f105v,5,Paulinum,4,Crocus | Myrrha | Piper longum | Piper nigrum,42.1,66.7,30.8,5.8,13
f106r,1,Trifera Saracenica,7,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,63.6,87.5,50.0,5.3,14
f106r,2,Electuarium Justinum,7,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,63.6,87.5,50.0,5.3,14
f106r,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),6,Cardamomum | Casia | Cinnamomum | Crocus | Piper longum | Piper nigrum,60.0,75.0,50.0,4.5,12
f106r,4,Paulinum,6,Casia | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,57.1,75.0,46.2,4.9,13
f106r,5,Theodoricon Euporistum,7,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum | Piper nigrum,56.0,87.5,41.2,6.4,17
f106v,1,Philonium Persicum,6,Cardamomum | Casia | Crocus | Myrrha | Piper longum | Styrax,50.0,100.0,33.3,6.9,18
f106v,2,Trifera Saracenica,5,Cardamomum | Casia | Crocus | Myrrha | Piper longum,50.0,83.3,35.7,5.4,14
f106v,3,Electuarium Justinum,5,Cardamomum | Casia | Crocus | Myrrha | Piper longum,50.0,83.3,35.7,5.4,14
f106v,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),4,Cardamomum | Casia | Crocus | Piper longum,44.4,66.7,33.3,4.6,12
f106v,5,Antidotum Hadriani,4,Casia | Crocus | Myrrha | Piper longum,44.4,66.7,33.3,4.6,12
f107r,1,Trifera Saracenica,5,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,52.6,100.0,35.7,5.6,14
f107r,2,Electuarium Justinum,5,Cardamomum | Cinnamomum | Crocus | Myrrha | Piper longum,52.6,100.0,35.7,5.6,14
f107r,3,Philonium Romanum,4,Cinnamomum | Crocus | Myrrha | Piper longum,50.0,80.0,36.4,4.4,11
f107r,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),4,Cardamomum | Cinnamomum | Crocus | Piper longum,47.1,80.0,33.3,4.8,12
f107r,5,Antidotum Hadriani,4,Cinnamomum | Crocus | Myrrha | Piper longum,47.1,80.0,33.3,4.8,12
f107v,1,Trifera Saracenica,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,6.3,14
f107v,2,Electuarium Justinum,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,69.6,88.9,57.1,6.3,14
f107v,3,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),7,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Piper nigrum | Zingiber,66.7,77.8,58.3,5.4,12
f107v,4,Paulinum,7,Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,63.6,77.8,53.8,5.9,13
f107v,5,Theodoricon Euporistum,8,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Piper nigrum | Zingiber,61.5,88.9,47.1,7.7,17
f108r,1,Electuarium Justinum,7,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum | Piper nigrum,63.6,87.5,50.0,5.5,14
f108r,2,Theodoricon Euporistum,7,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum | Piper nigrum,56.0,87.5,41.2,6.7,17
f108r,3,Trifera Saracenica,6,Cardamomum | Casia | Crocus | Myrrha | Piper longum | Piper nigrum,54.5,75.0,42.9,5.5,14
f108r,4,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Cardamomum | Casia | Crocus | Piper longum | Piper nigrum,50.0,62.5,41.7,4.7,12
f108r,5,Paulinum,5,Casia | Crocus | Myrrha | Piper longum | Piper nigrum,47.6,62.5,38.5,5.1,13
f108v,1,Electuarium Justinum,7,Amomum | Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,66.7,100.0,50.0,5.7,14
f108v,2,Theodoricon Euporistum,7,Amomum | Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,58.3,100.0,41.2,7.0,17
f108v,3,Trifera Saracenica,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,57.1,85.7,42.9,5.7,14
f108v,4,Electuarium Diacostum,5,Amomum | Cardamomum | Casia | Cinnamomum | Piper longum,55.6,71.4,45.5,4.5,11
f108v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),5,Cardamomum | Casia | Cinnamomum | Crocus | Piper longum,52.6,71.4,41.7,4.9,12
f111r,1,Electuarium Justinum,6,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum,54.5,75.0,42.9,4.4,14
f111r,2,Theodoricon Euporistum,6,Amomum | Cardamomum | Casia | Crocus | Myrrha | Piper longum,48.0,75.0,35.3,5.4,17
f111r,3,Trifera Saracenica,5,Cardamomum | Casia | Crocus | Myrrha | Piper longum,45.5,62.5,35.7,4.4,14
f111r,4,Trifera Magna,8,Amomum | Bdellium | Cardamomum | Casia | Crocus | Myrrha | Opopanax | Piper longum,44.4,100.0,28.6,8.9,28
f111r,5,Electuarium Diacostum,4,Amomum | Cardamomum | Casia | Piper longum,42.1,50.0,36.4,3.5,11
f111v,1,Electuarium Justinum,8,Amomum | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,69.6,88.9,57.1,5.7,14
f111v,2,Theodoricon Euporistum,8,Amomum | Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,61.5,88.9,47.1,6.9,17
f111v,3,Trifera Saracenica,7,Cardamomum | Casia | Crocus | Mel despumatum | Myrrha | Piper longum | Zingiber,60.9,77.8,50.0,5.7,14
f111v,4,Electuarium Diacostum,6,Amomum | Cardamomum | Casia | Mel despumatum | Piper longum | Zingiber,60.0,66.7,54.5,4.5,11
f111v,5,Jawaarish Jalinusi (Digestivo de Galeno - Avicena),6,Cardamomum | Casia | Crocus | Mel despumatum | Piper longum | Zingiber,57.1,66.7,50.0,4.9,12
f112r,1,Trifera Saracenica,6,Cardamomum | Casia | Cinnamomum | Crocus | Myrrha | Piper longum,57.1,85.7,42.9,6.2,14
